Id,Id2,Geography,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US09001070400,09001070400,"Census Tract 704, Fairfield County, Connecticut",1768,309,1768,,1768,309,1768,,930,247,52.6,11.8
1400000US09001070500,09001070500,"Census Tract 705, Fairfield County, Connecticut",2141,309,2141,,2141,309,2141,,743,287,34.7,12.6
1400000US09001070600,09001070600,"Census Tract 706, Fairfield County, Connecticut",2271,352,2271,,2271,352,2271,,816,155,35.9,8.3
1400000US09001070900,09001070900,"Census Tract 709, Fairfield County, Connecticut",2634,306,2634,,2634,306,2634,,809,245,30.7,8.8
1400000US09001071000,09001071000,"Census Tract 710, Fairfield County, Connecticut",4083,492,4083,,4083,492,4083,,1080,330,26.5,7.9
1400000US09001071100,09001071100,"Census Tract 711, Fairfield County, Connecticut",4938,439,4938,,4938,439,4938,,1622,353,32.8,7.1
1400000US09001071200,09001071200,"Census Tract 712, Fairfield County, Connecticut",5290,557,5290,,5290,557,5290,,1569,378,29.7,7.1
1400000US09001071300,09001071300,"Census Tract 713, Fairfield County, Connecticut",3795,489,3795,,3795,489,3795,,1389,427,36.6,10.3
1400000US09001071400,09001071400,"Census Tract 714, Fairfield County, Connecticut",3837,582,3837,,3837,582,3837,,2078,395,54.2,9.3
1400000US09001071600,09001071600,"Census Tract 716, Fairfield County, Connecticut",2634,466,2634,,2634,466,2634,,1240,431,47.1,15.9
1400000US09001071900,09001071900,"Census Tract 719, Fairfield County, Connecticut",4540,530,4540,,4540,530,4540,,2052,428,45.2,6.9
1400000US09001072000,09001072000,"Census Tract 720, Fairfield County, Connecticut",3231,443,3231,,3231,443,3231,,1774,384,54.9,9.7
1400000US09001072100,09001072100,"Census Tract 721, Fairfield County, Connecticut",5170,634,5170,,5170,634,5170,,3272,456,63.3,10.8
1400000US09001072200,09001072200,"Census Tract 722, Fairfield County, Connecticut",4016,417,4016,,4016,417,4016,,2833,409,70.5,7.1
1400000US09001072300,09001072300,"Census Tract 723, Fairfield County, Connecticut",5824,501,5824,,5824,501,5824,,3440,528,59.1,9.1
1400000US09001072400,09001072400,"Census Tract 724, Fairfield County, Connecticut",2817,391,2817,,2817,391,2817,,1177,314,41.8,8.7
1400000US09001072500,09001072500,"Census Tract 725, Fairfield County, Connecticut",6090,774,6090,,6090,774,6090,,4032,684,66.2,13.8
1400000US09001072600,09001072600,"Census Tract 726, Fairfield County, Connecticut",7471,550,7471,,7471,550,7471,,5367,629,71.8,5.9
1400000US09001072700,09001072700,"Census Tract 727, Fairfield County, Connecticut",3402,310,3402,,3402,310,3402,,2002,488,58.8,11.1
1400000US09001072800,09001072800,"Census Tract 728, Fairfield County, Connecticut",5845,453,5845,,5845,453,5845,,1924,615,32.9,10.3
1400000US09001072900,09001072900,"Census Tract 729, Fairfield County, Connecticut",5328,432,5328,,5328,432,5328,,2118,385,39.8,7.3
1400000US09001073000,09001073000,"Census Tract 730, Fairfield County, Connecticut",1818,164,1818,,1818,164,1818,,955,174,52.5,7.8
1400000US09001073100,09001073100,"Census Tract 731, Fairfield County, Connecticut",5408,724,5408,,5408,724,5408,,2693,568,49.8,6.8
1400000US09001073200,09001073200,"Census Tract 732, Fairfield County, Connecticut",2762,426,2762,,2762,426,2762,,1376,258,49.8,10.9
1400000US09001073300,09001073300,"Census Tract 733, Fairfield County, Connecticut",3190,330,3190,,3190,330,3190,,1236,303,38.7,9.0
1400000US09001073400,09001073400,"Census Tract 734, Fairfield County, Connecticut",4511,604,4511,,4511,604,4511,,1784,360,39.5,8.8
1400000US09001073500,09001073500,"Census Tract 735, Fairfield County, Connecticut",3347,472,3347,,3347,472,3347,,1114,234,33.3,7.7
1400000US09001073600,09001073600,"Census Tract 736, Fairfield County, Connecticut",2331,348,2331,,2331,348,2331,,1063,406,45.6,15.5
1400000US09001073700,09001073700,"Census Tract 737, Fairfield County, Connecticut",4638,420,4638,,4638,420,4638,,1745,363,37.6,7.4
1400000US09001073800,09001073800,"Census Tract 738, Fairfield County, Connecticut",2727,400,2727,,2727,400,2727,,1295,325,47.5,10.8
1400000US09001073900,09001073900,"Census Tract 739, Fairfield County, Connecticut",3303,405,3303,,3303,405,3303,,1206,379,36.5,10.5
1400000US09001074000,09001074000,"Census Tract 740, Fairfield County, Connecticut",2161,245,2161,,2161,245,2161,,621,260,28.7,11.2
1400000US09001074300,09001074300,"Census Tract 743, Fairfield County, Connecticut",3755,558,3755,,3755,558,3755,,1328,372,35.4,8.5
1400000US09001074400,09001074400,"Census Tract 744, Fairfield County, Connecticut",4251,554,4251,,4251,554,4251,,972,366,22.9,8.0
1400000US09001080100,09001080100,"Census Tract 801, Fairfield County, Connecticut",4986,395,4986,,4986,395,4986,,2980,459,59.8,9.3
1400000US09001080200,09001080200,"Census Tract 802, Fairfield County, Connecticut",4445,343,4445,,4445,343,4445,,2910,339,65.5,7.3
1400000US09001080400,09001080400,"Census Tract 804, Fairfield County, Connecticut",5740,560,5740,,5740,560,5740,,2273,545,39.6,7.8
1400000US09001080500,09001080500,"Census Tract 805, Fairfield County, Connecticut",3204,223,3204,,3204,223,3204,,3095,225,96.6,2.8
1400000US09001080600,09001080600,"Census Tract 806, Fairfield County, Connecticut",2091,227,2091,,2091,227,2091,,1635,259,78.2,11.6
1400000US09001080700,09001080700,"Census Tract 807, Fairfield County, Connecticut",2034,196,2034,,2034,196,2034,,1579,260,77.6,11.4
1400000US09001080800,09001080800,"Census Tract 808, Fairfield County, Connecticut",4787,240,4787,,4787,240,4787,,4484,261,93.7,2.9
1400000US09001080900,09001080900,"Census Tract 809, Fairfield County, Connecticut",5136,256,5136,,5136,256,5136,,4061,376,79.1,6.0
1400000US09001081000,09001081000,"Census Tract 810, Fairfield County, Connecticut",4420,243,4420,,4420,243,4420,,3849,274,87.1,5.0
1400000US09001081100,09001081100,"Census Tract 811, Fairfield County, Connecticut",4808,264,4808,,4808,264,4808,,4575,274,95.2,2.0
1400000US09001081200,09001081200,"Census Tract 812, Fairfield County, Connecticut",5346,273,5346,,5346,273,5346,,4696,377,87.8,6.2
1400000US09001081300,09001081300,"Census Tract 813, Fairfield County, Connecticut",4697,300,4697,,4697,300,4697,,4284,414,91.2,6.6
1400000US09001090100,09001090100,"Census Tract 901, Fairfield County, Connecticut",3215,184,3215,,3215,184,3215,,2973,202,92.5,3.9
1400000US09001090200,09001090200,"Census Tract 902, Fairfield County, Connecticut",8253,368,8253,,8253,368,8253,,7957,393,96.4,2.0
1400000US09001090300,09001090300,"Census Tract 903, Fairfield County, Connecticut",4650,194,4650,,4650,194,4650,,4115,320,88.5,6.5
1400000US09001090400,09001090400,"Census Tract 904, Fairfield County, Connecticut",6431,392,6431,,6431,392,6431,,5356,405,83.3,4.0
1400000US09001090500,09001090500,"Census Tract 905, Fairfield County, Connecticut",4679,248,4679,,4679,248,4679,,4361,270,93.2,2.7
1400000US09001090600,09001090600,"Census Tract 906, Fairfield County, Connecticut",3369,308,3369,,3369,308,3369,,3124,336,92.7,3.5
1400000US09001090700,09001090700,"Census Tract 907, Fairfield County, Connecticut",5654,249,5654,,5654,249,5654,,5316,250,94.0,1.5
1400000US09001100100,09001100100,"Census Tract 1001, Fairfield County, Connecticut",5517,336,5517,,5517,336,5517,,5341,342,96.8,2.3
1400000US09001100200,09001100200,"Census Tract 1002, Fairfield County, Connecticut",7262,313,7262,,7262,313,7262,,7118,315,98.0,1.4
1400000US09001100300,09001100300,"Census Tract 1003, Fairfield County, Connecticut",6852,404,6852,,6852,404,6852,,6366,503,92.9,5.7
1400000US09001105100,09001105100,"Census Tract 1051, Fairfield County, Connecticut",4111,166,4111,,4111,166,4111,,4014,170,97.6,1.7
1400000US09001105200,09001105200,"Census Tract 1052, Fairfield County, Connecticut",3439,167,3439,,3439,167,3439,,3335,207,97.0,3.6
1400000US09001110100,09001110100,"Census Tract 1101, Fairfield County, Connecticut",2313,412,2313,,2313,412,2313,,2203,417,95.2,3.4
1400000US09001110201,09001110201,"Census Tract 1102.01, Fairfield County, Connecticut",4796,316,4796,,4796,316,4796,,4273,349,89.1,5.3
1400000US09001110202,09001110202,"Census Tract 1102.02, Fairfield County, Connecticut",5143,260,5143,,5143,260,5143,,4907,323,95.4,3.3
1400000US09001110301,09001110301,"Census Tract 1103.01, Fairfield County, Connecticut",6182,350,6182,,6182,350,6182,,5270,436,85.2,4.8
1400000US09001110302,09001110302,"Census Tract 1103.02, Fairfield County, Connecticut",2773,280,2773,,2773,280,2773,,2622,287,94.6,4.4
1400000US09001110400,09001110400,"Census Tract 1104, Fairfield County, Connecticut",4971,236,4971,,4971,236,4971,,4865,257,97.9,2.0
1400000US09001110500,09001110500,"Census Tract 1105, Fairfield County, Connecticut",6012,264,6012,,6012,264,6012,,5940,275,98.8,1.2
1400000US09001110600,09001110600,"Census Tract 1106, Fairfield County, Connecticut",7816,476,7816,,7816,476,7816,,7439,490,95.2,1.7
1400000US09001200100,09001200100,"Census Tract 2001, Fairfield County, Connecticut",3431,219,3431,,3431,219,3431,,2925,267,85.3,5.7
1400000US09001200200,09001200200,"Census Tract 2002, Fairfield County, Connecticut",5119,389,5119,,5119,389,5119,,4552,387,88.9,7.6
1400000US09001200301,09001200301,"Census Tract 2003.01, Fairfield County, Connecticut",5131,262,5131,,5131,262,5131,,4757,292,92.7,3.8
1400000US09001200302,09001200302,"Census Tract 2003.02, Fairfield County, Connecticut",5206,250,5206,,5206,250,5206,,4923,263,94.6,2.4
1400000US09001205100,09001205100,"Census Tract 2051, Fairfield County, Connecticut",4082,252,4082,,4082,252,4082,,3452,318,84.6,6.4
1400000US09001205200,09001205200,"Census Tract 2052, Fairfield County, Connecticut",6764,367,6764,,6764,367,6764,,6483,412,95.8,2.6
1400000US09001205300,09001205300,"Census Tract 2053, Fairfield County, Connecticut",5768,401,5768,,5768,401,5768,,5492,448,95.2,3.3
1400000US09001210100,09001210100,"Census Tract 2101, Fairfield County, Connecticut",6179,753,6179,,6179,753,6179,,3328,695,53.9,11.3
1400000US09001210200,09001210200,"Census Tract 2102, Fairfield County, Connecticut",6595,658,6595,,6595,658,6595,,3140,466,47.6,7.2
1400000US09001210300,09001210300,"Census Tract 2103, Fairfield County, Connecticut",5952,615,5952,,5952,615,5952,,4285,533,72.0,8.6
1400000US09001210400,09001210400,"Census Tract 2104, Fairfield County, Connecticut",8994,598,8994,,8994,598,8994,,5096,660,56.7,8.2
1400000US09001210500,09001210500,"Census Tract 2105, Fairfield County, Connecticut",7030,585,7030,,7030,585,7030,,6114,560,87.0,4.5
1400000US09001210600,09001210600,"Census Tract 2106, Fairfield County, Connecticut",6086,667,6086,,6086,667,6086,,3479,590,57.2,8.6
1400000US09001210701,09001210701,"Census Tract 2107.01, Fairfield County, Connecticut",4758,599,4758,,4758,599,4758,,2447,540,51.4,10.4
1400000US09001210702,09001210702,"Census Tract 2107.02, Fairfield County, Connecticut",4418,418,4418,,4418,418,4418,,2748,498,62.2,10.0
1400000US09001210800,09001210800,"Census Tract 2108, Fairfield County, Connecticut",5515,396,5515,,5515,396,5515,,4623,368,83.8,3.3
1400000US09001210900,09001210900,"Census Tract 2109, Fairfield County, Connecticut",5371,301,5371,,5371,301,5371,,5016,288,93.4,2.0
1400000US09001211000,09001211000,"Census Tract 2110, Fairfield County, Connecticut",4183,269,4183,,4183,269,4183,,3201,452,76.5,9.5
1400000US09001211100,09001211100,"Census Tract 2111, Fairfield County, Connecticut",1218,143,1218,,1218,143,1218,,594,120,48.8,8.3
1400000US09001211200,09001211200,"Census Tract 2112, Fairfield County, Connecticut",6538,511,6538,,6538,511,6538,,4763,491,72.9,5.6
1400000US09001211300,09001211300,"Census Tract 2113, Fairfield County, Connecticut",3836,269,3836,,3836,269,3836,,3236,290,84.4,6.6
1400000US09001211400,09001211400,"Census Tract 2114, Fairfield County, Connecticut",5294,373,5294,,5294,373,5294,,4396,385,83.0,5.4
1400000US09001220100,09001220100,"Census Tract 2201, Fairfield County, Connecticut",5151,332,5151,,5151,332,5151,,4795,348,93.1,5.3
1400000US09001220200,09001220200,"Census Tract 2202, Fairfield County, Connecticut",4910,336,4910,,4910,336,4910,,4504,421,91.7,5.9
1400000US09001220300,09001220300,"Census Tract 2203, Fairfield County, Connecticut",3949,280,3949,,3949,280,3949,,3793,305,96.0,2.8
1400000US09001230100,09001230100,"Census Tract 2301, Fairfield County, Connecticut",6977,351,6977,,6977,351,6977,,6802,385,97.5,1.9
1400000US09001230200,09001230200,"Census Tract 2302, Fairfield County, Connecticut",2067,114,2067,,2067,114,2067,,2007,111,97.1,1.1
1400000US09001230300,09001230300,"Census Tract 2303, Fairfield County, Connecticut",3289,203,3289,,3289,203,3289,,3235,199,98.4,1.3
1400000US09001230400,09001230400,"Census Tract 2304, Fairfield County, Connecticut",6378,340,6378,,6378,340,6378,,6080,345,95.3,2.6
1400000US09001230501,09001230501,"Census Tract 2305.01, Fairfield County, Connecticut",4143,387,4143,,4143,387,4143,,3530,483,85.2,9.4
1400000US09001230502,09001230502,"Census Tract 2305.02, Fairfield County, Connecticut",4918,464,4918,,4918,464,4918,,4307,476,87.6,3.7
1400000US09001240100,09001240100,"Census Tract 2401, Fairfield County, Connecticut",4555,225,4555,,4555,225,4555,,4423,239,97.1,1.7
1400000US09001240200,09001240200,"Census Tract 2402, Fairfield County, Connecticut",4652,227,4652,,4652,227,4652,,4567,237,98.2,1.4
1400000US09001245100,09001245100,"Census Tract 2451, Fairfield County, Connecticut",3029,167,3029,,3029,167,3029,,2947,181,97.3,2.0
