PlanPortion,Infrastructure,RtpId,ProjectCategory,Description,Sponsor,Ptype,County,Year,EstimatedCost,Geography
Vision,Roadways,NYCQ361V,MOBILITY,BUS HOT SPOT ALONG KISSENA BLVD,NYCDOT,Highway,Queens,,,"MULTILINESTRING ((-73.829597 40.75856, -73.82798 40.757638, -73.827091 40.757151, -73.826854 40.757034, -73.826111 40.756611, -73.825982 40.756522, -73.825782 40.756361, -73.824718 40.755495, -73.82398 40.754876, -73.823396 40.754385, -73.823051 40.754095, -73.822836 40.753914, -73.822804 40.753887, -73.82235 40.753522, -73.822077 40.753303, -73.821926 40.753174, -73.82151 40.752839, -73.82085 40.752247, -73.819989 40.751436, -73.819405 40.750892, -73.819126 40.750629, -73.818834 40.75035, -73.818437 40.749999, -73.818264 40.749828, -73.817801 40.749396, -73.817695 40.749297, -73.81716 40.748815, -73.817109 40.748769, -73.816561 40.748284, -73.816526 40.748253, -73.815982 40.74777, -73.815362 40.747228, -73.814857 40.746755, -73.814769 40.746676, -73.814169 40.746143, -73.813956 40.745961, -73.813744 40.745724, -73.813709 40.745615, -73.813704 40.745476, -73.813718 40.745092, -73.81374 40.744841, -73.8138 40.744569, -73.813953 40.744026, -73.81431 40.742969, -73.814423 40.742592, -73.814559 40.742215, -73.814602 40.74208, -73.814699 40.741715, -73.814764 40.74151, -73.814813 40.741391, -73.814899 40.74108, -73.814932 40.740961, -73.814981 40.740797, -73.815013 40.740674, -73.815078 40.740379, -73.8151 40.740248, -73.81511 40.740105, -73.815121 40.739953, -73.815129 40.739637, -73.815052 40.73954, -73.81504 40.739337, -73.81501 40.739219, -73.814971 40.739036, -73.814963 40.738982, -73.814939 40.738834, -73.814893 40.738579, -73.814871 40.73847, -73.814761 40.737926, -73.814622 40.73715, -73.814613 40.736174, -73.814612 40.735957, -73.814643 40.735341, -73.814678 40.734572, -73.814724 40.733766, -73.814832 40.732083, -73.814841 40.732034, -73.81485 40.731986, -73.814955 40.730538, -73.815022 40.730468, -73.815071 40.73016, -73.815153 40.729675, -73.815202 40.729133, -73.815218 40.728958, -73.815219 40.728887, -73.815169 40.728843, -73.815127 40.728723, -73.81509 40.728633, -73.815025 40.728539, -73.814934 40.728443, -73.81476 40.728308, -73.814579 40.7282, -73.814502 40.728161, -73.814378 40.728114, -73.814331 40.728047, -73.814166 40.727964, -73.814119 40.727938, -73.813896 40.727831, -73.81281 40.727295, -73.812458 40.727134, -73.811668 40.726738, -73.811499 40.726664, -73.811076 40.726444, -73.810818 40.726287, -73.810751 40.726215, -73.8107 40.726111))"
Vision,Roadways,NYCQ363V,MOBILITY,BUS HOT SPOT AT COLLEGE PT.,NYCDOT,Highway,Queens,,,"MULTILINESTRING ((-73.83577 40.744901, -73.83576 40.74491, -73.835577 40.74516, -73.835377 40.745525, -73.835009 40.746201, -73.834622 40.746885, -73.83458 40.74695, -73.834494 40.747076, -73.834436 40.747136, -73.834226 40.747299, -73.833847 40.747528, -73.833648 40.747651, -73.833097 40.747994, -73.833031 40.748057, -73.832991 40.748129, -73.832969 40.748198, -73.83295 40.748294, -73.832786 40.748986, -73.832697 40.74931, -73.832509 40.750061, -73.832451 40.750338, -73.832366 40.750749, -73.832224 40.751314, -73.832188 40.75154, -73.832173 40.751625, -73.832171 40.751672, -73.832176 40.751744, -73.83221 40.751967, -73.832226 40.752026, -73.832343 40.752375, -73.832539 40.753037, -73.832756 40.753756, -73.833048 40.754681, -73.833339 40.755563, -73.833614 40.756366, -73.833739 40.756752, -73.833757 40.756797, -73.833869 40.75714, -73.834191 40.758126, -73.834234 40.758302, -73.834467 40.759026, -73.834868 40.760267, -73.8351 40.761066, -73.835219 40.76156, -73.835353 40.762114, -73.835448 40.762598, -73.835473 40.762714, -73.835508 40.762847, -73.835569 40.762974, -73.835655 40.763128, -73.835734 40.763173, -73.835877 40.76338, -73.836032 40.763585, -73.837042 40.765096, -73.83722 40.765366, -73.837416 40.765665, -73.83759 40.765919, -73.837649 40.765995, -73.837718 40.766068, -73.837848 40.76619, -73.837944 40.766266, -73.838029 40.766329, -73.838269 40.766474, -73.838382 40.766542, -73.838448 40.766571, -73.838527 40.766594, -73.838604 40.766684, -73.838805 40.766775, -73.838923 40.766839, -73.839113 40.766955, -73.83924 40.767047, -73.839386 40.767168, -73.841359 40.769065, -73.841645 40.769334, -73.841943 40.769624, -73.842763 40.77042, -73.843263 40.770895, -73.843655 40.771269, -73.844408 40.771991, -73.845263 40.772818, -73.845532 40.773094, -73.845717 40.773258, -73.846142 40.773658, -73.846287 40.773796, -73.846426 40.77395, -73.846496 40.774059, -73.846538 40.774157, -73.84657 40.774255, -73.846614 40.774463, -73.846563 40.775024, -73.846553 40.775094, -73.846532 40.775129, -73.846285 40.775624, -73.846275 40.77571, -73.846254 40.77585, -73.846198 40.776523, -73.846179 40.776664, -73.846156 40.776908, -73.846151 40.776957, -73.8462 40.777031, -73.84619 40.777083, -73.846113 40.778613, -73.846068 40.77925, -73.846026 40.780158, -73.845989 40.780856, -73.845965 40.781168, -73.845941 40.781688, -73.845848 40.78323, -73.8458 40.784196, -73.845779 40.7849, -73.84576 40.785407, -73.845738 40.786007, -73.845706 40.786836, -73.845716 40.787377, -73.845659 40.788042))"
Vision,Roadways,NYCBX45V,BRIDGE,HARLEM RIVER BRIDGES MAJOR REHABILITATION,NYCDOT,Highway,Bronx,,,"MULTILINESTRING ((-73.930388 40.803115, -73.925862 40.805216), (-73.934203 40.806846, -73.930952 40.808277), (-73.934702 40.814226, -73.932144 40.814102, -73.931282 40.813698), (-73.934863 40.819862, -73.933877 40.819503, -73.932308 40.819533, -73.930767 40.81942), (-73.935029 40.827974, -73.934835 40.828052, -73.934488 40.828061, -73.932937 40.828173, -73.931438 40.828283, -73.931207 40.828304), (-73.93088 40.846088, -73.925941 40.844901), (-73.929534 40.847518, -73.925414 40.845694), (-73.916211 40.86333, -73.913226 40.862019, -73.912498 40.86178))"
