Id,Id2,Geography,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",4306,501,4306,,3138,444,72.9,7.9
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",729,96,729,,591,86,81.1,6.4
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",1730,234,1730,,1351,227,78.1,11.9
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",2490,349,2490,,1615,268,64.9,9.6
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",3593,374,3593,,2760,292,76.8,5.7
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",3080,294,3080,,2185,271,70.9,7.5
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",2506,230,2506,,2273,264,90.7,4.9
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",3305,232,3305,,3055,249,92.4,3.0
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",1388,140,1388,,1302,155,93.8,4.2
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",1524,196,1524,,912,214,59.8,12.5
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",2425,264,2425,,1872,242,77.2,6.4
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",2298,191,2298,,2194,206,95.5,3.6
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",2112,235,2112,,1796,257,85.0,7.0
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",1698,199,1698,,1376,212,81.0,9.2
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",2418,205,2418,,2207,215,91.3,6.3
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",2359,417,2359,,1099,244,46.6,11.3
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",3454,358,3454,,2899,335,83.9,7.4
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",2630,251,2630,,2137,360,81.3,10.9
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",1854,306,1854,,1415,208,76.3,13.1
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",3397,403,3397,,2831,386,83.3,5.8
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",1278,236,1278,,832,177,65.1,15.8
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",2703,306,2703,,2310,307,85.5,5.7
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",2738,306,2738,,1785,262,65.2,9.2
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",1756,183,1756,,1505,201,85.7,7.4
1400000US36047006400,36047006400,"Census Tract 64, Kings County, New York",3879,438,3879,,3071,448,79.2,8.0
1400000US36047006500,36047006500,"Census Tract 65, Kings County, New York",5072,495,5072,,4692,491,92.5,3.5
1400000US36047006600,36047006600,"Census Tract 66, Kings County, New York",3695,457,3695,,2795,385,75.6,7.5
1400000US36047006700,36047006700,"Census Tract 67, Kings County, New York",3498,305,3498,,3349,302,95.7,2.0
1400000US36047006800,36047006800,"Census Tract 68, Kings County, New York",5336,577,5336,,3770,511,70.7,8.1
1400000US36047006900,36047006900,"Census Tract 69, Kings County, New York",3653,445,3653,,3108,330,85.1,8.0
1400000US36047007000,36047007000,"Census Tract 70, Kings County, New York",2580,330,2580,,1748,343,67.8,11.2
1400000US36047007100,36047007100,"Census Tract 71, Kings County, New York",4792,381,4792,,1506,308,31.4,5.9
1400000US36047007200,36047007200,"Census Tract 72, Kings County, New York",2087,309,2087,,555,220,26.6,12.3
1400000US36047007400,36047007400,"Census Tract 74, Kings County, New York",6121,653,6121,,2308,580,37.7,9.5
1400000US36047007500,36047007500,"Census Tract 75, Kings County, New York",4812,575,4812,,3610,623,75.0,11.1
1400000US36047007600,36047007600,"Census Tract 76, Kings County, New York",4140,510,4140,,1627,400,39.3,9.4
1400000US36047007700,36047007700,"Census Tract 77, Kings County, New York",4423,450,4423,,3469,528,78.4,8.0
1400000US36047007800,36047007800,"Census Tract 78, Kings County, New York",5479,565,5479,,2986,613,54.5,10.7
1400000US36047008000,36047008000,"Census Tract 80, Kings County, New York",4378,576,4378,,1824,461,41.7,10.2
1400000US36047008200,36047008200,"Census Tract 82, Kings County, New York",4353,456,4353,,1446,355,33.2,8.3
1400000US36047008400,36047008400,"Census Tract 84, Kings County, New York",3665,465,3665,,1643,403,44.8,11.9
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",7033,503,7033,,1138,393,16.2,5.6
1400000US36047008600,36047008600,"Census Tract 86, Kings County, New York",0,12,0,,0,12,,
1400000US36047008800,36047008800,"Census Tract 88, Kings County, New York",3072,400,3072,,1820,377,59.2,10.8
1400000US36047009000,36047009000,"Census Tract 90, Kings County, New York",3214,342,3214,,815,271,25.4,8.2
1400000US36047009200,36047009200,"Census Tract 92, Kings County, New York",5106,525,5106,,1703,392,33.4,8.4
1400000US36047009400,36047009400,"Census Tract 94, Kings County, New York",5833,641,5833,,1473,389,25.3,6.6
1400000US36047009600,36047009600,"Census Tract 96, Kings County, New York",6090,673,6090,,2906,641,47.7,8.7
1400000US36047009800,36047009800,"Census Tract 98, Kings County, New York",7585,722,7585,,1627,469,21.5,6.1
1400000US36047010000,36047010000,"Census Tract 100, Kings County, New York",6373,654,6373,,1533,366,24.1,5.7
1400000US36047010100,36047010100,"Census Tract 101, Kings County, New York",4208,382,4208,,2471,357,58.7,7.7
