Id,Id2,Geography,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
1400000US09001042700,09001042700,"Census Tract 427, Fairfield County, Connecticut",4769,347,270,260,5.7,5.5
1400000US09001042800,09001042800,"Census Tract 428, Fairfield County, Connecticut",4784,431,163,110,3.4,2.3
1400000US09001042900,09001042900,"Census Tract 429, Fairfield County, Connecticut",1653,95,56,63,3.4,3.8
1400000US09001043000,09001043000,"Census Tract 430, Fairfield County, Connecticut",2930,497,72,41,2.5,1.4
1400000US09001043100,09001043100,"Census Tract 431, Fairfield County, Connecticut",4993,376,132,92,2.6,1.9
1400000US09001043200,09001043200,"Census Tract 432, Fairfield County, Connecticut",3080,442,305,181,9.9,6.3
1400000US09001043300,09001043300,"Census Tract 433, Fairfield County, Connecticut",3461,412,291,271,8.4,7.5
1400000US09001043400,09001043400,"Census Tract 434, Fairfield County, Connecticut",4156,366,809,279,19.5,6.8
1400000US09001043500,09001043500,"Census Tract 435, Fairfield County, Connecticut",2751,171,119,77,4.3,2.7
1400000US09001043600,09001043600,"Census Tract 436, Fairfield County, Connecticut",3235,204,106,95,3.3,2.9
1400000US09001043700,09001043700,"Census Tract 437, Fairfield County, Connecticut",2197,322,581,247,26.4,9.1
1400000US09001043800,09001043800,"Census Tract 438, Fairfield County, Connecticut",8597,764,863,403,10.0,4.6
1400000US09001043900,09001043900,"Census Tract 439, Fairfield County, Connecticut",5515,701,269,207,4.9,3.6
1400000US09001044000,09001044000,"Census Tract 440, Fairfield County, Connecticut",5158,568,891,387,17.3,7.5
1400000US09001044100,09001044100,"Census Tract 441, Fairfield County, Connecticut",3378,416,882,397,26.1,10.7
1400000US09001044200,09001044200,"Census Tract 442, Fairfield County, Connecticut",3232,414,310,130,9.6,4.2
1400000US09001044300,09001044300,"Census Tract 443, Fairfield County, Connecticut",3827,308,192,110,5.0,2.8
1400000US09001044400,09001044400,"Census Tract 444, Fairfield County, Connecticut",3534,394,960,346,27.2,9.3
1400000US09001044500,09001044500,"Census Tract 445, Fairfield County, Connecticut",2771,478,700,396,25.3,13.4
1400000US09001044600,09001044600,"Census Tract 446, Fairfield County, Connecticut",3427,308,103,72,3.0,2.1
1400000US09001045101,09001045101,"Census Tract 451.01, Fairfield County, Connecticut",4392,257,160,146,3.6,3.2
1400000US09001045102,09001045102,"Census Tract 451.02, Fairfield County, Connecticut",5932,294,335,253,5.6,4.3
1400000US09001045200,09001045200,"Census Tract 452, Fairfield County, Connecticut",2370,120,57,68,2.4,2.9
1400000US09001045300,09001045300,"Census Tract 453, Fairfield County, Connecticut",2439,203,97,92,4.0,3.7
1400000US09001045400,09001045400,"Census Tract 454, Fairfield County, Connecticut",3020,203,18,22,0.6,0.7
1400000US09001050100,09001050100,"Census Tract 501, Fairfield County, Connecticut",4022,227,48,31,1.2,0.8
1400000US09001050200,09001050200,"Census Tract 502, Fairfield County, Connecticut",4055,261,66,41,1.6,1.0
1400000US09001050300,09001050300,"Census Tract 503, Fairfield County, Connecticut",8180,334,369,200,4.5,2.5
1400000US09001050400,09001050400,"Census Tract 504, Fairfield County, Connecticut",2392,261,142,96,5.9,4.1
1400000US09001050500,09001050500,"Census Tract 505, Fairfield County, Connecticut",4669,279,203,116,4.3,2.5
1400000US09001050600,09001050600,"Census Tract 506, Fairfield County, Connecticut",3228,262,105,70,3.3,2.2
1400000US09001055100,09001055100,"Census Tract 551, Fairfield County, Connecticut",5793,272,102,82,1.8,1.4
1400000US09001055200,09001055200,"Census Tract 552, Fairfield County, Connecticut",4459,275,80,60,1.8,1.4
1400000US09001060100,09001060100,"Census Tract 601, Fairfield County, Connecticut",2588,207,15,16,0.6,0.6
1400000US09001060200,09001060200,"Census Tract 602, Fairfield County, Connecticut",4246,286,131,100,3.1,2.4
1400000US09001060300,09001060300,"Census Tract 603, Fairfield County, Connecticut",3874,281,79,105,2.0,2.7
1400000US09001060400,09001060400,"Census Tract 604, Fairfield County, Connecticut",4708,291,275,219,5.8,4.5
1400000US09001060500,09001060500,"Census Tract 605, Fairfield County, Connecticut",2891,169,46,57,1.6,2.0
1400000US09001060600,09001060600,"Census Tract 606, Fairfield County, Connecticut",2293,178,150,160,6.5,6.9
1400000US09001060700,09001060700,"Census Tract 607, Fairfield County, Connecticut",5010,204,199,119,4.0,2.4
1400000US09001060800,09001060800,"Census Tract 608, Fairfield County, Connecticut",2019,160,36,38,1.8,1.9
1400000US09001060900,09001060900,"Census Tract 609, Fairfield County, Connecticut",2583,142,32,34,1.2,1.3
1400000US09001061000,09001061000,"Census Tract 610, Fairfield County, Connecticut",3669,218,247,125,6.7,3.5
1400000US09001061100,09001061100,"Census Tract 611, Fairfield County, Connecticut",3525,249,117,69,3.3,2.0
1400000US09001061200,09001061200,"Census Tract 612, Fairfield County, Connecticut",2118,184,68,67,3.2,3.1
1400000US09001061300,09001061300,"Census Tract 613, Fairfield County, Connecticut",3195,275,233,130,7.3,3.9
1400000US09001061400,09001061400,"Census Tract 614, Fairfield County, Connecticut",2812,211,487,273,17.3,9.6
1400000US09001061500,09001061500,"Census Tract 615, Fairfield County, Connecticut",4623,282,343,202,7.4,4.2
1400000US09001061600,09001061600,"Census Tract 616, Fairfield County, Connecticut",5073,405,119,94,2.3,1.8
1400000US09001070100,09001070100,"Census Tract 701, Fairfield County, Connecticut",4794,515,311,308,6.5,6.0
1400000US09001070200,09001070200,"Census Tract 702, Fairfield County, Connecticut",4073,592,686,250,16.8,5.9
1400000US09001070300,09001070300,"Census Tract 703, Fairfield County, Connecticut",1223,179,657,219,53.7,17.4
1400000US09001070400,09001070400,"Census Tract 704, Fairfield County, Connecticut",1170,224,289,170,24.7,15.4
1400000US09001070500,09001070500,"Census Tract 705, Fairfield County, Connecticut",2141,309,960,316,44.8,12.4
1400000US09001070600,09001070600,"Census Tract 706, Fairfield County, Connecticut",1957,346,604,189,30.9,10.1
1400000US09001070900,09001070900,"Census Tract 709, Fairfield County, Connecticut",2398,306,1023,263,42.7,9.5
1400000US09001071000,09001071000,"Census Tract 710, Fairfield County, Connecticut",4066,490,974,343,24.0,7.9
1400000US09001071100,09001071100,"Census Tract 711, Fairfield County, Connecticut",4878,432,1103,395,22.6,7.6
1400000US09001071200,09001071200,"Census Tract 712, Fairfield County, Connecticut",5239,561,1765,547,33.7,9.5
1400000US09001071300,09001071300,"Census Tract 713, Fairfield County, Connecticut",3742,477,1621,458,43.3,10.9
1400000US09001071400,09001071400,"Census Tract 714, Fairfield County, Connecticut",3813,580,854,374,22.4,8.5
1400000US09001071600,09001071600,"Census Tract 716, Fairfield County, Connecticut",2608,457,1762,470,67.6,11.8
1400000US09001071900,09001071900,"Census Tract 719, Fairfield County, Connecticut",3716,500,1287,480,34.6,10.9
1400000US09001072000,09001072000,"Census Tract 720, Fairfield County, Connecticut",3231,443,832,422,25.8,11.3
1400000US09001072100,09001072100,"Census Tract 721, Fairfield County, Connecticut",5170,634,547,328,10.6,6.4
1400000US09001072200,09001072200,"Census Tract 722, Fairfield County, Connecticut",3991,423,802,334,20.1,7.7
1400000US09001072300,09001072300,"Census Tract 723, Fairfield County, Connecticut",5731,497,1158,371,20.2,6.1
1400000US09001072400,09001072400,"Census Tract 724, Fairfield County, Connecticut",2809,388,230,112,8.2,4.1
1400000US09001072500,09001072500,"Census Tract 725, Fairfield County, Connecticut",6090,774,590,417,9.7,6.4
1400000US09001072600,09001072600,"Census Tract 726, Fairfield County, Connecticut",6639,498,1184,537,17.8,7.5
1400000US09001072700,09001072700,"Census Tract 727, Fairfield County, Connecticut",3402,310,100,99,2.9,2.9
1400000US09001072800,09001072800,"Census Tract 728, Fairfield County, Connecticut",5845,453,1090,304,18.6,5.2
1400000US09001072900,09001072900,"Census Tract 729, Fairfield County, Connecticut",5297,424,684,360,12.9,6.5
1400000US09001073000,09001073000,"Census Tract 730, Fairfield County, Connecticut",1808,164,144,112,8.0,5.9
1400000US09001073100,09001073100,"Census Tract 731, Fairfield County, Connecticut",4907,672,1322,437,26.9,8.7
1400000US09001073200,09001073200,"Census Tract 732, Fairfield County, Connecticut",2762,426,307,167,11.1,6.3
1400000US09001073300,09001073300,"Census Tract 733, Fairfield County, Connecticut",3190,330,497,207,15.6,6.6
1400000US09001073400,09001073400,"Census Tract 734, Fairfield County, Connecticut",4488,601,889,392,19.8,8.6
1400000US09001073500,09001073500,"Census Tract 735, Fairfield County, Connecticut",3344,473,1188,443,35.5,12.2
1400000US09001073600,09001073600,"Census Tract 736, Fairfield County, Connecticut",2331,348,700,318,30.0,12.5
1400000US09001073700,09001073700,"Census Tract 737, Fairfield County, Connecticut",4485,409,1365,542,30.4,11.3
1400000US09001073800,09001073800,"Census Tract 738, Fairfield County, Connecticut",2580,404,940,245,36.4,9.8
1400000US09001073900,09001073900,"Census Tract 739, Fairfield County, Connecticut",3270,388,832,301,25.4,8.7
1400000US09001074000,09001074000,"Census Tract 740, Fairfield County, Connecticut",2146,240,915,225,42.6,8.0
1400000US09001074300,09001074300,"Census Tract 743, Fairfield County, Connecticut",3755,558,1188,381,31.6,8.9
1400000US09001074400,09001074400,"Census Tract 744, Fairfield County, Connecticut",4241,553,1124,373,26.5,7.4
1400000US09001080100,09001080100,"Census Tract 801, Fairfield County, Connecticut",4925,398,293,179,5.9,3.7
1400000US09001080200,09001080200,"Census Tract 802, Fairfield County, Connecticut",4411,328,707,260,16.0,5.9
1400000US09001080400,09001080400,"Census Tract 804, Fairfield County, Connecticut",5731,557,799,293,13.9,5.2
1400000US09001080500,09001080500,"Census Tract 805, Fairfield County, Connecticut",3204,223,287,227,9.0,6.9
1400000US09001080600,09001080600,"Census Tract 806, Fairfield County, Connecticut",2091,227,71,59,3.4,2.8
1400000US09001080700,09001080700,"Census Tract 807, Fairfield County, Connecticut",2034,196,105,77,5.2,3.7
1400000US09001080800,09001080800,"Census Tract 808, Fairfield County, Connecticut",4787,240,83,49,1.7,1.0
1400000US09001080900,09001080900,"Census Tract 809, Fairfield County, Connecticut",5136,256,265,164,5.2,3.1
1400000US09001081000,09001081000,"Census Tract 810, Fairfield County, Connecticut",4417,243,127,83,2.9,1.9
1400000US09001081100,09001081100,"Census Tract 811, Fairfield County, Connecticut",4757,264,119,76,2.5,1.6
1400000US09001081200,09001081200,"Census Tract 812, Fairfield County, Connecticut",5304,281,195,111,3.7,2.1
1400000US09001081300,09001081300,"Census Tract 813, Fairfield County, Connecticut",4473,283,160,120,3.6,2.7
1400000US09001090100,09001090100,"Census Tract 901, Fairfield County, Connecticut",3203,185,20,21,0.6,0.6
1400000US09001090200,09001090200,"Census Tract 902, Fairfield County, Connecticut",7822,345,93,94,1.2,1.2
1400000US09001090300,09001090300,"Census Tract 903, Fairfield County, Connecticut",4650,194,89,54,1.9,1.2
1400000US09001090400,09001090400,"Census Tract 904, Fairfield County, Connecticut",6224,366,113,97,1.8,1.6
1400000US09001090500,09001090500,"Census Tract 905, Fairfield County, Connecticut",4676,248,170,110,3.6,2.4
1400000US09001090600,09001090600,"Census Tract 906, Fairfield County, Connecticut",3339,280,189,72,5.7,2.1
1400000US09001090700,09001090700,"Census Tract 907, Fairfield County, Connecticut",5654,249,63,52,1.1,0.9
1400000US09001100100,09001100100,"Census Tract 1001, Fairfield County, Connecticut",5517,336,221,148,4.0,2.7
1400000US09001100200,09001100200,"Census Tract 1002, Fairfield County, Connecticut",7242,313,594,279,8.2,3.8
1400000US09001100300,09001100300,"Census Tract 1003, Fairfield County, Connecticut",6852,404,185,95,2.7,1.4
1400000US09001105100,09001105100,"Census Tract 1051, Fairfield County, Connecticut",4111,166,122,93,3.0,2.3
1400000US09001105200,09001105200,"Census Tract 1052, Fairfield County, Connecticut",3439,167,37,36,1.1,1.1
1400000US09001110100,09001110100,"Census Tract 1101, Fairfield County, Connecticut",2129,363,289,139,13.6,6.6
1400000US09001110201,09001110201,"Census Tract 1102.01, Fairfield County, Connecticut",4796,316,459,194,9.6,4.1
1400000US09001110202,09001110202,"Census Tract 1102.02, Fairfield County, Connecticut",4903,221,113,86,2.3,1.8
1400000US09001110301,09001110301,"Census Tract 1103.01, Fairfield County, Connecticut",6092,351,492,218,8.1,3.5
1400000US09001110302,09001110302,"Census Tract 1103.02, Fairfield County, Connecticut",2773,280,91,67,3.3,2.4
1400000US09001110400,09001110400,"Census Tract 1104, Fairfield County, Connecticut",4971,236,150,119,3.0,2.4
1400000US09001110500,09001110500,"Census Tract 1105, Fairfield County, Connecticut",6012,264,61,46,1.0,0.8
1400000US09001110600,09001110600,"Census Tract 1106, Fairfield County, Connecticut",7816,476,204,178,2.6,2.3
1400000US09001200100,09001200100,"Census Tract 2001, Fairfield County, Connecticut",3430,219,222,150,6.5,4.5
1400000US09001200200,09001200200,"Census Tract 2002, Fairfield County, Connecticut",5119,389,212,133,4.1,2.7
1400000US09001200301,09001200301,"Census Tract 2003.01, Fairfield County, Connecticut",4953,255,176,124,3.6,2.5
1400000US09001200302,09001200302,"Census Tract 2003.02, Fairfield County, Connecticut",5206,250,122,70,2.3,1.4
1400000US09001205100,09001205100,"Census Tract 2051, Fairfield County, Connecticut",4082,252,130,113,3.2,2.8
1400000US09001205200,09001205200,"Census Tract 2052, Fairfield County, Connecticut",6764,367,80,64,1.2,1.0
1400000US09001205300,09001205300,"Census Tract 2053, Fairfield County, Connecticut",5750,404,214,216,3.7,3.7
1400000US09001210100,09001210100,"Census Tract 2101, Fairfield County, Connecticut",6018,727,900,335,15.0,5.8
1400000US09001210200,09001210200,"Census Tract 2102, Fairfield County, Connecticut",5949,626,1535,489,25.8,7.6
1400000US09001210300,09001210300,"Census Tract 2103, Fairfield County, Connecticut",5766,624,614,301,10.6,5.0
1400000US09001210400,09001210400,"Census Tract 2104, Fairfield County, Connecticut",8994,598,1333,627,14.8,6.9
1400000US09001210500,09001210500,"Census Tract 2105, Fairfield County, Connecticut",7030,585,840,364,11.9,5.0
1400000US09001210600,09001210600,"Census Tract 2106, Fairfield County, Connecticut",5966,663,526,277,8.8,4.8
1400000US09001210701,09001210701,"Census Tract 2107.01, Fairfield County, Connecticut",4511,557,405,208,9.0,4.6
1400000US09001210702,09001210702,"Census Tract 2107.02, Fairfield County, Connecticut",4418,418,775,342,17.5,7.7
1400000US09001210800,09001210800,"Census Tract 2108, Fairfield County, Connecticut",4743,329,146,95,3.1,2.0
1400000US09001210900,09001210900,"Census Tract 2109, Fairfield County, Connecticut",5371,301,164,138,3.1,2.5
1400000US09001211000,09001211000,"Census Tract 2110, Fairfield County, Connecticut",4173,268,208,148,5.0,3.5
1400000US09001211100,09001211100,"Census Tract 2111, Fairfield County, Connecticut",34,20,0,12,0.0,50.9
1400000US09001211200,09001211200,"Census Tract 2112, Fairfield County, Connecticut",6459,500,603,330,9.3,4.9
1400000US09001211300,09001211300,"Census Tract 2113, Fairfield County, Connecticut",3836,269,117,122,3.1,3.1
1400000US09001211400,09001211400,"Census Tract 2114, Fairfield County, Connecticut",5277,370,127,107,2.4,2.0
1400000US09001220100,09001220100,"Census Tract 2201, Fairfield County, Connecticut",5118,328,46,29,0.9,0.6
1400000US09001220200,09001220200,"Census Tract 2202, Fairfield County, Connecticut",4859,346,40,34,0.8,0.7
1400000US09001220300,09001220300,"Census Tract 2203, Fairfield County, Connecticut",3949,280,131,90,3.3,2.3
1400000US09001230100,09001230100,"Census Tract 2301, Fairfield County, Connecticut",6957,348,202,169,2.9,2.4
1400000US09001230200,09001230200,"Census Tract 2302, Fairfield County, Connecticut",2067,114,57,32,2.8,1.5
1400000US09001230300,09001230300,"Census Tract 2303, Fairfield County, Connecticut",3289,203,93,93,2.8,2.8
1400000US09001230400,09001230400,"Census Tract 2304, Fairfield County, Connecticut",6340,335,232,151,3.7,2.4
1400000US09001230501,09001230501,"Census Tract 2305.01, Fairfield County, Connecticut",4143,387,344,365,8.3,8.6
1400000US09001230502,09001230502,"Census Tract 2305.02, Fairfield County, Connecticut",4200,424,313,179,7.5,3.9
1400000US09001240100,09001240100,"Census Tract 2401, Fairfield County, Connecticut",4529,228,170,110,3.8,2.5
1400000US09001240200,09001240200,"Census Tract 2402, Fairfield County, Connecticut",4652,227,149,143,3.2,3.1
1400000US09001245100,09001245100,"Census Tract 2451, Fairfield County, Connecticut",3029,167,52,60,1.7,2.0
1400000US09001245200,09001245200,"Census Tract 2452, Fairfield County, Connecticut",4067,227,127,73,3.1,1.8
1400000US09001245300,09001245300,"Census Tract 2453, Fairfield County, Connecticut",5057,350,270,178,5.3,3.5
1400000US09001245400,09001245400,"Census Tract 2454, Fairfield County, Connecticut",3538,256,49,58,1.4,1.7
1400000US09001245500,09001245500,"Census Tract 2455, Fairfield County, Connecticut",2721,203,53,44,1.9,1.7
1400000US09001245600,09001245600,"Census Tract 2456, Fairfield County, Connecticut",6301,365,204,137,3.2,2.2
1400000US09001257100,09001257100,"Census Tract 2571, Fairfield County, Connecticut",3599,49,83,73,2.3,2.1
1400000US09001257200,09001257200,"Census Tract 2572, Fairfield County, Connecticut",4111,493,491,232,11.9,5.4
1400000US09001990000,09001990000,"Census Tract 9900, Fairfield County, Connecticut",0,12,0,12,,
1400000US09005250100,09005250100,"Census Tract 2501, Litchfield County, Connecticut",1729,110,42,23,2.4,1.3
1400000US09005253100,09005253100,"Census Tract 2531, Litchfield County, Connecticut",3208,332,283,226,8.8,6.7
1400000US09005253200,09005253200,"Census Tract 2532, Litchfield County, Connecticut",7442,502,470,227,6.3,3.0
1400000US09005253300,09005253300,"Census Tract 2533, Litchfield County, Connecticut",2154,198,123,74,5.7,3.4
1400000US09005253400,09005253400,"Census Tract 2534, Litchfield County, Connecticut",6086,324,290,207,4.8,3.4
1400000US09005253500,09005253500,"Census Tract 2535, Litchfield County, Connecticut",6158,343,162,84,2.6,1.4
1400000US09005253600,09005253600,"Census Tract 2536, Litchfield County, Connecticut",2665,323,268,113,10.1,4.6
1400000US09005260200,09005260200,"Census Tract 2602, Litchfield County, Connecticut",3145,69,292,179,9.3,5.7
1400000US09005261100,09005261100,"Census Tract 2611, Litchfield County, Connecticut",3524,67,165,86,4.7,2.4
1400000US09005262100,09005262100,"Census Tract 2621, Litchfield County, Connecticut",2689,90,170,103,6.3,3.8
1400000US09005263200,09005263200,"Census Tract 2632, Litchfield County, Connecticut",1519,188,187,99,12.3,6.6
1400000US09005265100,09005265100,"Census Tract 2651, Litchfield County, Connecticut",1472,124,107,58,7.3,3.9
1400000US09005266100,09005266100,"Census Tract 2661, Litchfield County, Connecticut",2773,71,262,146,9.4,5.2
1400000US09005267100,09005267100,"Census Tract 2671, Litchfield County, Connecticut",3328,126,187,100,5.6,3.0
1400000US09005268100,09005268100,"Census Tract 2681, Litchfield County, Connecticut",2301,204,74,38,3.2,1.7
1400000US09005290100,09005290100,"Census Tract 2901, Litchfield County, Connecticut",3738,46,43,31,1.2,0.8
1400000US09005293100,09005293100,"Census Tract 2931, Litchfield County, Connecticut",1480,109,54,27,3.6,1.8
1400000US09005296100,09005296100,"Census Tract 2961, Litchfield County, Connecticut",2953,29,339,180,11.5,6.1
1400000US09005298300,09005298300,"Census Tract 2983, Litchfield County, Connecticut",2638,128,123,93,4.7,3.6
1400000US09005298400,09005298400,"Census Tract 2984, Litchfield County, Connecticut",2981,130,114,92,3.8,3.1
1400000US09005300100,09005300100,"Census Tract 3001, Litchfield County, Connecticut",2464,290,244,106,9.9,4.5
1400000US09005300400,09005300400,"Census Tract 3004, Litchfield County, Connecticut",2113,238,21,25,1.0,1.2
1400000US09005300500,09005300500,"Census Tract 3005, Litchfield County, Connecticut",3727,282,304,175,8.2,4.6
1400000US09005303100,09005303100,"Census Tract 3031, Litchfield County, Connecticut",2375,127,135,84,5.7,3.5
1400000US09005306100,09005306100,"Census Tract 3061, Litchfield County, Connecticut",6921,28,166,103,2.4,1.5
1400000US09005310100,09005310100,"Census Tract 3101, Litchfield County, Connecticut",4365,395,679,274,15.6,5.9
1400000US09005310200,09005310200,"Census Tract 3102, Litchfield County, Connecticut",2860,320,438,177,15.3,6.1
1400000US09005310300,09005310300,"Census Tract 3103, Litchfield County, Connecticut",1488,177,361,122,24.3,7.6
1400000US09005310400,09005310400,"Census Tract 3104, Litchfield County, Connecticut",2758,253,103,78,3.7,2.7
1400000US09005310500,09005310500,"Census Tract 3105, Litchfield County, Connecticut",1912,153,319,169,16.7,7.9
1400000US09005310601,09005310601,"Census Tract 3106.01, Litchfield County, Connecticut",3742,224,203,108,5.4,2.9
1400000US09005310602,09005310602,"Census Tract 3106.02, Litchfield County, Connecticut",4840,247,452,341,9.3,6.9
1400000US09005310700,09005310700,"Census Tract 3107, Litchfield County, Connecticut",3997,335,389,202,9.7,5.0
1400000US09005310801,09005310801,"Census Tract 3108.01, Litchfield County, Connecticut",2633,431,449,214,17.1,7.4
1400000US09005310803,09005310803,"Census Tract 3108.03, Litchfield County, Connecticut",4010,439,252,102,6.3,2.5
1400000US09005310804,09005310804,"Census Tract 3108.04, Litchfield County, Connecticut",2672,316,258,195,9.7,6.9
1400000US09005320100,09005320100,"Census Tract 3201, Litchfield County, Connecticut",6343,393,555,265,8.7,4.2
1400000US09005320200,09005320200,"Census Tract 3202, Litchfield County, Connecticut",4653,411,210,141,4.5,3.0
1400000US09005342100,09005342100,"Census Tract 3421, Litchfield County, Connecticut",3536,44,168,82,4.8,2.3
1400000US09005349100,09005349100,"Census Tract 3491, Litchfield County, Connecticut",5111,208,114,61,2.2,1.2
1400000US09005349200,09005349200,"Census Tract 3492, Litchfield County, Connecticut",2646,205,109,71,4.1,2.6
1400000US09005360100,09005360100,"Census Tract 3601, Litchfield County, Connecticut",5245,369,190,100,3.6,1.9
1400000US09005360200,09005360200,"Census Tract 3602, Litchfield County, Connecticut",7720,342,191,129,2.5,1.7
1400000US09005360300,09005360300,"Census Tract 3603, Litchfield County, Connecticut",3498,258,112,82,3.2,2.3
1400000US09005360400,09005360400,"Census Tract 3604, Litchfield County, Connecticut",5736,398,230,130,4.0,2.2
