Geography,PlanPortion,Infrastructure,Ignore,ProjectCategory,RTP_ID_201,Description,Sponsor,Ptype,Year,EstimatedCost,County
"MULTILINESTRING ((1021265.9443287253 327687.91980464756, 1021205.0753559768 327766.12076373398, 1020990.4248666316 328034.32724830508, 1020913.6159651428 328130.78079555929, 1020870.7837017179 328182.07760897279, 1020853.4008624703 328200.26294006407, 1020713.0996338874 328343.62288956344, 1020648.7595394701 328402.54993705451, 1020497.7339228839 328532.37940180302, 1020330.981631726 328650.18067538738, 1020240.1763671339 328710.88921539485, 1020080.6458463073 328803.20530372858, 1019979.3812850565 328853.3347966373, 1019740.443770811 328949.90875047445, 1019644.1588583887 328985.11406064034, 1019533.8034360558 329021.00473690033, 1019332.4600067139 329073.20115481317, 1019232.0300894678 329096.01508556306, 1019053.3198169768 329124.15807388723, 1018917.6422668099 329138.54715272784, 1018718.8050660491 329145.9162324816, 1018277.9047011435 329149.30139631033, 1017985.864930883 329154.35912898183, 1017468.8735108078 329153.62783122063, 1016853.4232981354 329144.4106580615, 1016408.0898712277 329150.37357264757, 1015770.5895058066 329147.35028472543, 1015484.0904068947 329149.16097664833, 1014976.9851218909 329143.39327163994, 1014941.4120303094 329143.73546256125, 1014386.9124831408 329146.32371197641, 1013807.8641005605 329140.49531155825, 1013407.46431081 329141.08520539105, 1013336.7042817175 329139.32733489573, 1013316.1980891377 329138.81782147288, 1013305.1105128825 329138.82503931224))",Constrained,Transit,"5. Study, Other",MOBILITY,MHSMC1590C,TAPPAN ZEE HUDSON RIVER CROSSING PROJECT,NYSDOT/NY THRUWAY,Highway,2019,"$3,900 million",Westchester
"MULTILINESTRING ((1038737.0678509772 262139.8061504811, 1038953.9420891404 262588.79934698343, 1039115.1835645586 262937.11000205576, 1039283.0811946392 263274.5066369772, 1039534.7555600554 263852.19675455987, 1039577.1121026427 263949.57287214696, 1039842.0554703921 264642.42876988649, 1040093.985084638 265337.07961155474, 1040098.3810732216 265349.11305205524, 1040186.832011804 265597.0695771426, 1040253.8577963859 265784.13186706603, 1040317.6483512223 265935.11712940037, 1040563.9451027215 266425.00000789762, 1040717.8181545585 266711.36688922346, 1041142.1339069754 267553.62635956705, 1041397.2029506415 268060.66307514906, 1041749.6540173888 268763.58522573113, 1041833.0304910541 268924.45859164, 1041999.2306179702 269244.74732114375, 1042063.8928902149 269369.50691413879, 1042134.685727641 269473.51392397285, 1042258.9587730616 269638.1297364831, 1042339.1620247215 269736.33032748103, 1042623.2119815499 270011.72774255276, 1042766.2090708911 270089.31354539096, 1043054.9630865604 270245.22333855927, 1043188.0199070573 270317.32227572799, 1043258.9042797238 270380.52654564381, 1043285.3733868897 270407.91658273339, 1043404.4994609654 270524.43275389075, 1043629.6801129729 270788.76851131022, 1043704.5274042189 270925.58057364821, 1043825.6026213914 271146.67035456002, 1043868.8043066412 271225.47465889156, 1044078.821931228 271581.22755630314, 1044186.1393018812 271774.59462364018, 1044202.3764741421 271803.05355623364, 1044242.8340703845 271872.74337747693, 1044312.5028942972 271977.48266930878, 1044485.0730872154 272270.84330305457, 1044546.7412709743 272368.64100772142, 1044652.4559545517 272536.86672113836, 1044960.9399176389 273074.68093422055, 1044984.0547008067 273115.18085323274, 1045581.4622986317 274149.23685598373, 1045628.5163383931 274230.24063096941, 1045720.1473887265 274387.8695808053, 1045852.2544079721 274603.89703589678, 1045893.5643647164 274660.83983539045, 1046120.4907481372 274973.29688763618, 1046277.86116831 275142.0268651396, 1046352.552291885 275220.9164711386, 1046368.5463543832 275234.43809764087, 1046452.1009773016 275305.3355936408, 1046817.3725564778 275654.58981639147, 1047253.7778516412 276063.05848763883, 1047466.035301134 276266.55151897669, 1048835.2225233912 277551.56535314023, 1049000.8849217147 277706.12573955953, 1049166.2700896412 277860.32228155434, 1049427.8489627987 278104.40742331743, 1049614.9486542195 278299.10782131553, 1049771.7341018021 278462.7580845654, 1049854.1384645551 278542.40851581097, 1050106.7668963075 278821.08971697092, 1050613.0611592978 279396.68010123074, 1051004.4439067245 279852.0948728174, 1051251.138951391 280168.29929289222, 1051284.7366532236 280208.47047239542, 1051514.4045009762 280484.91676989198, 1051528.1748146415 280500.98629155755, 1051898.0385762155 280932.30924780667, 1052070.7396743894 281123.34528306127, 1052504.2151853889 281622.62414014339, 1052856.4451239705 282024.76441197097, 1052966.0462827235 282151.13915923238, 1053319.3526627272 282558.02614071965, 1053579.9390837997 282826.92947430909, 1053997.1075408012 283307.24314622581, 1054230.0542533845 283575.34562839568, 1054624.06790106 284029.37031088769, 1054825.0550318807 284263.13723181188, 1054885.074268803 284333.26668472588, 1055135.8890558928 284624.74871331453, 1055216.2816116363 284717.89255589247, 1055229.7707578838 284733.96306180954, 1055633.9215243906 285203.70162364841, 1055873.9814117253 285482.77160355449, 1056616.4277614653 286345.20294955373, 1056801.704949975 286554.52831831574, 1056923.6610708833 286692.25310847163, 1057373.7087272257 287217.17528697848, 1057506.6572802216 287371.33213089406, 1057678.9676311314 287570.42326813936, 1058020.8183253855 287968.23710505664, 1058580.641352728 288618.12425673008, 1058820.9174469709 288894.67455664277, 1059349.3346972167 289504.76913698018, 1059493.2674802244 289671.35869881511, 1059685.9045621306 289895.66763339937, 1059833.6821537167 290067.73684306443, 1059869.7316223085 290109.7492262274, 1059896.7000723034 290141.16747047007, 1059989.7136657983 290249.30570563674, 1060234.0737413913 290534.26314097643, 1060520.0301904678 290851.41670614481, 1060588.549082309 290930.69607514143, 1060605.3351379782 290950.05955347419, 1060747.9421362281 291093.69870188832, 1060916.4929802269 291242.15772256255, 1061373.8132598102 291597.75773313642, 1061509.3398916423 291707.49439030886, 1061835.2588592172 291954.47257089615, 1061990.419638142 292054.80176655948, 1062044.7210387141 292087.03923489153, 1062117.7661682218 292130.26716680825, 1062301.9429652244 292224.13377697766, 1062375.5760200471 292256.06973673403, 1062529.7351605594 292323.24381497502, 1062727.8197381347 292385.46055406332, 1062988.5593741387 292457.71992397308, 1063537.349287048 292609.98832023144, 1064026.0126798004 292736.93065164983, 1064465.5275488049 292860.07673080266, 1064544.9755526334 292885.84472389519, 1064738.906923309 292948.42826014757, 1064772.8277872205 292962.38656556606, 1064880.6599206328 293006.10301356018, 1064902.4417012185 293016.37759931386, 1065037.2731244713 293079.13075464964, 1065076.1375480592 293101.12152430415, 1065259.9826527983 293205.94021230936, 1065401.3284987211 293301.87341938913, 1065647.5537280589 293496.89829181135, 1065708.656296134 293557.22166197002, 1066195.4414118081 293985.15387697518, 1066849.558541894 294572.52278096974, 1067260.8769449741 294932.08571013808, 1067494.8682748824 295142.39073573053, 1067515.5152152181 295160.67908497155, 1068068.8372713029 295652.6397152245, 1068109.2810880542 295695.04448606074, 1068140.0956589729 295727.21436922252, 1068477.3515461385 296014.03597405553, 1068542.3012193888 296075.83735963702, 1069279.1573572159 296736.79568339884, 1069356.2251164764 296806.29324780405, 1069682.3983486444 297095.6437189728, 1069761.1380205601 297160.04746155441, 1069853.8960371315 297242.35405547917, 1070185.0088919699 297536.83017255366, 1070533.6853599697 297859.06345197558, 1070838.6506292969 298126.12886272371, 1071038.521948725 298286.79487997293, 1071111.2261996418 298338.42929114401, 1071247.8748764694 298420.5347699821, 1071387.0875245482 298480.42507013679, 1071569.302711308 298559.0531937331, 1071629.9489154667 298585.14106805623, 1071764.4991713017 298635.9076988101, 1071862.6695786417 298668.69044163823, 1071919.767233476 298683.47125197947, 1071954.5256941319 298691.61296798289, 1072378.2479438037 298789.34177514911, 1072545.7095511407 298823.8371129781, 1072609.696955964 298841.92401905358, 1072693.2886523008 298859.35410231352, 1072856.5481683016 298910.23195330799, 1072976.761510551 298954.39459463954, 1073015.0760664642 298971.29547947645, 1073266.4587658048 299082.98193588853, 1073500.8864465505 299224.84910622239, 1073627.014475137 299311.30168922246, 1073662.8083668053 299337.66712206602, 1073703.8355157226 299367.33143280447, 1073796.8960251361 299436.53798730671, 1073886.0733402222 299510.46697330475, 1073993.0967482179 299611.0602760613, 1074097.8763943017 299720.75428240001, 1074180.0593008101 299819.07003064454, 1074191.3037008941 299839.15135531127, 1074206.9493388832 299863.62112264335, 1074296.0246200562 299964.14880873263, 1074400.3505268842 300120.84403339028, 1074487.0334243923 300270.1865824759, 1074499.3818248808 300290.27184414864, 1074813.8474033028 300801.90271064639, 1075449.6578114778 301820.46661838889, 1076070.251386553 302833.88913223147, 1076085.046960637 302863.09347014129, 1076388.8186628073 303338.27034130692, 1076498.0346517265 303508.10989664495, 1076659.848960638 303782.35573922098, 1076814.6114463806 304023.05538906157, 1077060.422306478 304417.49718548357, 1077205.270770058 304650.14567030966, 1077300.1905277222 304802.08106197417, 1077368.5348792225 304902.17633423209, 1077441.8204938024 305009.21384981275, 1077496.7639534771 305076.83084055781, 1077679.5614881366 305272.46463564038, 1077701.8412992209 305292.58992347121, 1077763.1850085557 305346.38705997169, 1077841.6244842261 305404.62250781059, 1077956.1803574711 305473.56429906189, 1078073.7913427204 305537.41751781106, 1078169.9479745477 305581.8777307272, 1078329.8554631323 305628.40749330819, 1078458.0891305506 305657.32639873028, 1078612.819792226 305686.3493065536, 1078655.619903475 305681.77976189554, 1078680.4961660504 305672.76796889305))",Vision,Transit,"4. Transit, Rail",TRANSIT,MHSWC781V,"MNR DANBURY BRANCH IMPROVEMENTS- SVC PLANNING 
& COORDINATION WC - CT",CDOT ?,Rail, , ,Westchester
"MULTILINESTRING ((1089006.1533362269 216486.77934648097, 1089203.2231520563 216524.04731656611, 1089371.0072652996 216545.92949064076, 1089464.913901642 216552.86812506616, 1089712.2634725571 216558.68176172674, 1089845.5109094679 216559.26476581395, 1090272.4204887152 216563.32807789743, 1090376.8359623104 216568.14532548189, 1090544.9117416441 216583.82147522271, 1090666.7353168875 216601.46809346974, 1090870.9858926386 216643.90534456074, 1091037.5747983009 216684.70480364561, 1091251.2206964642 216736.68304614723, 1091340.3655313104 216752.01077139378, 1092077.5369572192 216940.71938347816, 1092150.8622698933 216961.80628356338, 1092265.9128928035 217001.28914423287, 1092686.0826561302 217142.70716847479, 1093013.5829853863 217253.11738072336, 1093203.1183674783 217306.05953206122, 1093526.3276948035 217382.58529764414, 1093926.2127218097 217474.74456214905, 1094157.5761042237 217526.42293646932, 1094376.4769131392 217578.80144064128, 1094435.1309953034 217591.06257097423, 1094568.2222645581 217627.02509747446, 1094780.635881722 217700.48000305891, 1095000.4408883005 217794.75671739876, 1095724.6848466396 218130.73307955265, 1095839.6655877978 218184.42654173076, 1096321.768626228 218407.0839048028, 1096447.2490183115 218466.3344424814, 1096666.4437898844 218567.54126106203, 1096972.1715248823 218708.49045422673, 1097162.4109738022 218782.98604014516, 1097236.7956675589 218807.73631872237, 1097492.1006031334 218886.87165914476, 1098103.742752552 219061.35392172635, 1098382.8780210614 219138.0850674808, 1098558.5351500511 219191.38286113739, 1098619.4047789723 219208.04949447513, 1099052.6017472148 219332.1535769701, 1099237.6450123042 219385.50845713913, 1099373.7198713869 219429.87024505436, 1099584.4156442136 219513.94455197453, 1099735.2959198803 219587.50936548412, 1099878.9413018823 219668.34384948015, 1100918.2476222217 220299.63195697963, 1101199.6410883069 220479.51578356326, 1101370.2673874646 220592.53196172416, 1101546.4127044678 220714.70691423118, 1101654.8878812194 220793.57847563922, 1102513.8333418071 221410.93813331425, 1103399.9483674765 222022.24268497527, 1103698.6085313112 222228.47750872374, 1103802.9337819666 222300.40682680905, 1103937.3915183097 222392.86464715004, 1104072.5858017206 222486.6790920645, 1104574.3872915506 222761.25892347097, 1104882.8108873069 222972.84084939957, 1105068.3544794768 223093.26711772382, 1105293.1040299684 223232.83868896961, 1105524.4910343885 223370.26754797995, 1106472.3191912174 223957.23717455566, 1106528.6507714689 223993.2200422287, 1106679.9319649637 224087.61781930923, 1106765.519720301 224139.41397556663, 1106866.6261453927 224193.85415539145, 1107063.9039660543 224284.11808247864, 1107315.0245268047 224405.2415279001, 1107568.6808436364 224521.31347422302, 1107675.8397500515 224576.86651273072, 1107751.1509511322 224634.09540089965, 1107782.3086972237 224664.12978965044, 1107840.0812194645 224740.1978789717, 1107882.8842834681 224815.84667780995, 1107900.9925149679 224852.7245568037, 1107916.5994391441 224885.95382106304, 1107937.9622573107 224931.98292846978, 1107951.6489097178 224963.75911164284, 1108006.3551651388 225093.35465297103, 1108085.2844692171 225260.64467272162, 1108115.4451700598 225318.35453106463, 1108161.6265081316 225382.34816947579, 1108185.8712103069 225410.5239661485, 1108249.5728545487 225465.48940739036, 1108518.5139177144 225670.19076964259, 1108675.7393250614 225790.84111888707, 1109123.1833120584 226131.63702522218, 1109214.7464491427 226200.95348764956, 1109320.952601552 226282.37720930576, 1109409.7785393894 226350.60968439281, 1109670.7041986436 226551.62831123173, 1109934.9553105533 226750.83755847812, 1110394.0072139651 227102.19413922727, 1110402.4084438831 227108.62424448133, 1110992.697945714 227560.4291151464, 1111122.8886302263 227658.74289488792, 1111161.5207708031 227688.10044772923, 1111513.3816156387 227963.92338688672, 1111624.0024573803 228046.83890347183, 1111697.0863007158 228101.49988339841, 1111758.5835530609 228147.36626148224, 1111807.9696091413 228184.44427131116, 1111906.696117714 228260.37489372492, 1111949.4525938928 228294.47718772292, 1112487.2002060562 228709.39269647002, 1112651.301911965 228834.49251189828, 1112711.408090964 228879.25948272645, 1112803.4453084767 228964.28916831315, 1112864.5685458034 229032.01672314107, 1112967.6972765476 229165.91671781242, 1113011.639445886 229232.06816031039, 1113073.3906347156 229334.80417531729, 1113122.6792500615 229438.17470347881, 1113175.4855748862 229559.38968414068, 1113208.0485018939 229632.06965689361, 1113237.2088766396 229720.04913972318, 1113446.9600975513 230210.8352316469, 1113469.6339367181 230265.25080522895, 1113508.2486888915 230344.85103972256, 1113593.5188595504 230504.15846389532, 1113668.9370158017 230639.75268089771, 1113752.6691318005 230773.54539230466, 1113865.5783548057 230936.27899073064, 1114165.6601037234 231362.33653755486, 1114263.7760492265 231496.95076964796, 1114358.6485628933 231614.76516656578, 1114502.3444697261 231772.19234514236, 1114718.8538792282 231974.86385580897, 1114729.0293838084 231986.56133897603, 1114742.1773233861 232017.22794431448, 1114824.333327055 232078.87250606716, 1114848.3542763889 232093.23566630483, 1114958.1611433923 232162.3113155663, 1115061.0634966344 232230.28329247236, 1115487.4091006368 232487.99242272973, 1116192.2403681427 232903.8872602284, 1116713.494574964 233213.48047305644, 1116847.8122197241 233305.31329464912, 1116964.4281282276 233395.93778531253, 1117000.8211000562 233427.48627863824, 1117222.3403420597 233620.68110223114, 1117265.2989175469 233658.09506939352, 1117300.9815889746 233664.84308739007, 1117405.6923375577 233753.23890797794, 1117480.3657446355 233820.68037414551, 1117564.9384101331 233892.93055772781, 1117659.1826442182 233975.76963089406, 1117671.1629352272 234010.45164814591, 1117738.1178538054 234068.75927430391, 1117818.8503038883 234135.14595256746, 1117947.382199049 234220.38331489265, 1118113.5026017278 234315.29847939312, 1118272.2759062201 234393.39806072414, 1118429.116799891 234463.1505458951, 1118623.8962659687 234535.98143698275, 1118713.7107188851 234564.16445147991, 1118785.8257321417 234585.72411964834, 1118937.861845389 234625.53604789078, 1119141.3512677997 234673.65537422895, 1119161.257067889 234678.15405289829, 1119267.401540637 234702.44271822274, 1119393.7516816407 234731.55355238914, 1119628.0202419758 234770.75688606501, 1119749.493096143 234780.89006789029, 1120018.1703803092 234801.35623431206, 1120706.2247784734 234874.43548448384, 1120781.5172788054 234878.13856105506, 1121235.7945854664 234874.49913264811, 1121448.9788703918 234872.06770706177, 1121519.0023523867 234871.3682333976, 1121821.5978758037 234867.62184980512, 1121921.5445263088 234866.35019880533, 1122090.9523239732 234869.86626788974, 1122156.2671539783 234870.63070206344, 1122620.1671448052 234884.93152648211, 1122658.0446937233 234888.40527281165, 1122733.8532691449 234897.22152814269, 1122845.8632157147 234914.97707006335, 1123169.3314008117 234991.88734930754, 1123541.9841988087 235079.65587456524, 1123696.2191265523 235116.62069565058, 1123784.140210554 235137.14526090026, 1123807.8058456331 235160.60256305337, 1123999.3418798894 235216.73368439078, 1124164.5889247209 235263.94290755689, 1124179.5341048092 235268.03902797401, 1124193.6223312169 235271.78311496973, 1124202.1803849638 235274.0163782239, 1124269.3639776409 235291.88937397301, 1124421.633030057 235332.09270563722, 1124557.3656982183 235366.77472288907, 1124777.691701144 235420.87074330449, 1124891.848625049 235448.51373264194, 1124974.5115174651 235468.31093713641, 1125066.8141543865 235490.32795347273, 1125117.4259297997 235502.64781072736, 1125182.094763726 235518.6796028167, 1125736.6527097225 235646.87127555907, 1125822.6410548091 235664.89190880954, 1125872.1163495481 235675.35415822268, 1125905.5683823824 235682.12612630427, 1126079.4705936313 235719.94986955822, 1126111.6680358052 235708.81865823269, 1126179.8371908069 235724.25563523173, 1126306.5216487199 235756.60957314074, 1126414.0486646444 235784.19613213837, 1126627.1630678028 235838.99753172696, 1126825.6308467239 235887.17427264154, 1127226.1480903029 235986.79874530435, 1127834.8145238906 236134.68558864295, 1128383.21106489 236269.47764189541, 1128961.4451446384 236410.62368506193, 1129110.9733888805 236449.41330564022, 1129142.4897300601 236456.17575931549, 1129559.3061536402 236560.66800439358, 1130110.7325442135 236693.68512681127, 1130868.6070127189 236878.23298606277, 1131299.0018212199 236979.22294156253, 1131379.1358473003 236999.01653714478, 1131426.1308320612 237010.58902056515, 1131747.8414747268 237091.98059006035, 1131968.6684608907 237146.8905852288, 1132308.5660750568 237237.49309431016, 1132372.3654881418 237260.85229955614, 1132525.6634098887 237316.43453747034, 1132900.1675821394 237451.69935880601, 1133223.5662135482 237571.72897438705, 1134202.7171423882 237934.32109697163, 1134537.2847147137 238058.21356572211, 1134653.2608607262 238101.58651047945, 1134784.7796265483 238138.08742173016, 1135713.5874802172 238333.71104623377, 1135745.3613668084 238340.10932739079, 1135780.2235018015 238346.86489130557, 1135955.2106846422 238379.29396030307, 1135970.4222683907 238380.85891781747, 1136046.1265133023 238403.55801939964, 1136693.4910322279 238543.88024531305, 1137044.8069306314 238620.04315072298, 1137161.9907513857 238645.54933330417, 1137265.8786669672 238673.53812247515, 1137288.5177292973 238684.63521313667, 1137351.4798737168 238706.52722972631, 1137451.6299358904 238757.79221905768, 1137505.6669013053 238791.27246706188, 1137585.5932506323 238847.52694772184, 1137665.6859382242 238918.34996880591, 1137722.0772296339 238974.08574973047, 1137764.9416452199 239020.65521039069, 1137817.6269073039 239093.85880413651, 1137851.8646997213 239152.33998639882, 1137877.8160913885 239203.53312547505, 1137973.5983801335 239421.29384480417, 1138297.6607241333 240082.78661631048, 1138391.3586994708 240273.23505431414, 1138450.5049066395 240374.88117647171, 1138471.3414791375 240406.34436814487, 1138526.7111190557 240490.50988222659, 1138590.6831039637 240572.14948272705, 1138658.5346743017 240648.72446081042, 1138739.129985556 240726.13670755923, 1138831.9329495579 240803.60833738744, 1138934.1328763813 240876.37754881382, 1139069.7615421414 240959.59457397461, 1139235.8816167265 241037.54159656167, 1139356.2429245561 241082.76755598187, 1139632.1242625564 241179.97175788879, 1139732.4219622165 241203.93266797066, 1140066.6693252176 241259.64646731317, 1140807.258067131 241390.83058814704, 1140876.6430989653 241403.32892273366, 1141417.6213477254 241498.26311606169, 1141835.6041075587 241573.10581414402, 1142499.5985144675 241687.11346013844, 1142663.8517948836 241710.77089314163, 1142801.3072286397 241724.06778256595, 1142994.413141638 241731.15175789595, 1143584.7439819723 241728.09041230381, 1143654.7871489674 241726.37191180885, 1144119.7898278832 241717.4231108129, 1144216.6387155503 241718.0579520613, 1144458.2855419666 241711.26367430389, 1144863.8122899681 241701.22104348242, 1145356.1869613826 241695.37262997031, 1145611.9256231338 241692.68431514502, 1145861.5763705522 241688.52323423326, 1146104.0847437978 241679.58657230437, 1146827.133494556 241654.53347280622, 1147108.3839163035 241641.47870889306, 1147131.9350503087 241640.55351389945, 1147162.3746219724 241639.28809647262, 1147666.7292563021 241622.30978398025, 1148080.2992953062 241609.77929723263, 1148342.7039542198 241601.73239730299, 1148727.1887495518 241588.28754231334, 1148809.6908811331 241585.57363697886, 1149495.3709402233 241564.36042481661, 1149592.4609691352 241569.02872255445, 1149685.9263333827 241580.98965664208, 1149752.5420138091 241595.25898505747, 1149862.9938926399 241629.17722430825, 1149944.9520620555 241665.09545956552, 1150005.9086330533 241695.37787930667, 1150074.5390732139 241733.7439443171, 1150248.4120850563 241844.22042939067, 1150381.5007296354 241929.30392064154, 1150793.9841566384 242192.6383677274, 1150840.8584067225 242222.4913263917, 1151070.4048636407 242363.24432572722, 1151269.7568271309 242469.16438947618, 1151576.7322630584 242619.96264430881, 1151692.8320964724 242677.21384213865, 1152072.0678865612 242865.28597256541, 1152285.0107021332 242965.86549581587, 1152555.6269588023 243090.89116439223, 1152994.7543613911 243296.52493947744, 1153447.3486005515 243514.63933263719, 1153507.2051081359 243543.49065288901, 1153762.3630623817 243662.58818373084, 1153901.7443453074 243715.30789455771, 1154043.9363181442 243758.54501281679, 1154198.9196039736 243795.36777381599, 1154472.0148583055 243844.26334531605, 1154538.066891551 243852.3696283102, 1154836.179156214 243882.17698338628, 1155329.2355848104 243930.82813280821, 1155351.0892156363 243933.53153946996, 1155376.79060781 243936.97969530523, 1155848.1013449728 244012.45789080858, 1156660.9543780535 244150.85164289176, 1157110.2989518046 244239.67528414726, 1157621.8018658012 244337.69871014357, 1157720.5178757161 244349.6986861378, 1157828.3929880559 244353.3902798146, 1157954.1184583902 244342.63472388685, 1158251.1739666313 244285.72243614495, 1158376.7134137154 244258.56172931194, 1158411.0932662189 244248.98071172833, 1158445.2149171382 244239.76452280581, 1158475.1439911425 244231.21795198321, 1158530.0671096444 244215.95584338903, 1158781.6830762178 244165.66526156664, 1158911.6798634678 244135.27030922472, 1158929.9875696301 244129.22045256197, 1160191.8616863042 243635.54394647479, 1160506.3085639775 243509.55207248032, 1160547.3744267225 243493.46286581457, 1160646.1806595474 243455.9425996393, 1160803.2321827263 243395.14744564891, 1160824.8909320533 243386.56544181705, 1161006.0959502161 243317.19189289212, 1161113.225001052 243275.70509922504, 1161291.1390153021 243205.58187989891, 1161426.8431402147 243151.92188222706, 1161579.4556958824 243096.19856847823, 1161718.3638826311 243061.53426772356, 1161853.2763424665 243042.11075013876, 1161902.0147620589 243036.99265013635, 1162011.1379033923 243023.57338564098, 1162293.6425877213 242994.32606880367, 1162529.8419184685 242973.48293463886, 1162898.8500387222 242961.62633106112, 1163092.0701247156 242950.29794164002, 1163222.5295094699 242937.42198313773, 1163403.4320348054 242910.67991064489, 1163609.8827373832 242871.04613164067, 1163980.1536503881 242800.20408172905, 1164165.1437659711 242783.72019080818, 1164328.4150929749 242782.02071914077, 1164491.3268406391 242794.86288505793, 1165305.8403034657 242898.2232426405, 1165463.6716807187 242923.10114564002, 1165622.2520722151 242961.81825980544, 1165775.1805721372 243011.39690080285, 1165902.8689650595 243069.2038718164, 1166051.255479306 243137.70373481512, 1166217.2105279714 243221.65533855557, 1166352.2456909716 243299.19947481155, 1167210.4211399704 243737.76290214062, 1167386.5388979763 243829.47400480509, 1167525.0665080547 243919.77664572001, 1167677.4838541448 244036.79675289989, 1167769.2412165552 244123.46455855668, 1167796.0826983005 244126.20995989442, 1167861.2315181345 244184.63274331391, 1167964.4501437247 244292.17288255692, 1168053.0749664754 244391.96992705762, 1168143.3936834782 244487.74499797821, 1168198.489701882 244556.65201239288, 1168203.4759123921 244593.84091439843, 1168290.879280895 244672.84764614701, 1168468.0990708023 244838.15112130344, 1168731.0965763032 245075.16114597023, 1168820.4720537215 245148.69708813727, 1168875.8170873821 245187.73900480568, 1168919.0555179715 245212.48108130693, 1168976.9517276436 245242.07551030815, 1169029.8758343905 245270.18536221981, 1169185.3315602243 245348.61204265058, 1169279.3625401407 245390.13328506052, 1169338.4467395544 245408.78613489866, 1169437.0689176321 245432.86318647861, 1169545.1179141402 245448.98848231137, 1169755.7900649756 245474.64131814241, 1169929.6319088936 245499.30301423371, 1170795.7184313089 245610.53868414462, 1171782.0865373015 245768.96651689708, 1172000.1490933001 245803.82209022343, 1172731.2368699759 245944.29326598346, 1172999.7638919652 245998.85155580938, 1173300.099905476 246054.39179906249, 1173626.1261563003 246118.13871881366, 1173944.3459922969 246188.04474698007, 1174117.0319986343 246220.7261120528, 1174213.7860702276 246233.50331747532, 1174345.057461217 246251.66010530293, 1174459.699620381 246276.2430613935, 1174506.1460497975 246283.16233889759, 1174611.3663118035 246310.21445015073, 1174640.1037871391 246315.20230105519, 1175121.1323526353 246403.4974000603, 1175223.0849046409 246423.23653380573, 1175632.241894722 246502.27771431208, 1175896.652783215 246552.81271822751, 1176493.4193062186 246666.82626973093, 1176632.3917973042 246692.70581114292, 1177059.2613503933 246774.07014971972, 1177173.0901909769 246796.49661405385, 1177553.7872642279 246869.10211189091, 1177844.1754629761 246924.26309080422, 1179361.1750536412 247213.69951981306, 1179452.1043337137 247227.92029190063, 1179567.6372391433 247241.59710180759, 1179605.9639341384 247258.65054538846, 1179710.8905615509 247251.48061223328, 1179831.7223408818 247229.13190364838, 1179859.9900008887 247221.72115731239, 1179876.9033528864 247217.13028723001, 1180210.7396274656 247131.64325347543, 1180301.4280943871 247107.60425956547, 1180495.7764589638 247057.44261448085, 1180687.6517313868 247009.08083455265, 1180782.1410437226 246993.07102406025, 1180863.0034148097 246984.99459664524, 1180910.8927547187 246983.20030888915, 1181023.4702854753 246985.19735214114, 1181031.7947438806 246984.18291847408, 1181049.8586841375 246974.13241364062))",Vision,Roadways,"1. Safety, Intersection",INTERSECTION,NSSC672V,NY 25 GLEN COVE RD TO NY 454 INTERSECTION IMPROVEMENTS,NYSDOT,Highway, , ,Nassau
