distance,State,County,rdName,rdNumber,rdDirection,tmc,dYear,dMonth,dWeekday,HR24_passVeh,HR24_allVeh,HR24_freight,HR1_passVeh,HR1_allVeh,HR1_freight,HR2_passVeh,HR2_allVeh,HR2_freight,HR3_passVeh,HR3_allVeh,HR3_freight,HR4_passVeh,HR4_allVeh,HR4_freight,HR5_passVeh,HR5_allVeh,HR5_freight,HR6_passVeh,HR6_allVeh,HR6_freight,HR7_passVeh,HR7_allVeh,HR7_freight,HR8_passVeh,HR8_allVeh,HR8_freight,HR9_passVeh,HR9_allVeh,HR9_freight,HR10_passVeh,HR10_allVeh,HR10_freight,HR11_passVeh,HR11_allVeh,HR11_freight,HR12_passVeh,HR12_allVeh,HR12_freight,HR13_passVeh,HR13_allVeh,HR13_freight,HR14_passVeh,HR14_allVeh,HR14_freight,HR15_passVeh,HR15_allVeh,HR15_freight,HR16_passVeh,HR16_allVeh,HR16_freight,HR17_passVeh,HR17_allVeh,HR17_freight,HR18_passVeh,HR18_allVeh,HR18_freight,HR19_passVeh,HR19_allVeh,HR19_freight,HR20_passVeh,HR20_allVeh,HR20_freight,HR21_passVeh,HR21_allVeh,HR21_freight,HR22_passVeh,HR22_allVeh,HR22_freight,HR23_passVeh,HR23_allVeh,HR23_freight
0.014515,NY,"NEW YORK","DELANCEY ST",0,WESTBOUND,120P06927,2019,01,Tuesday,15,15,12,13,13,NULL,15,13,7,15,15,12,13,13,14,10,10,NULL,11,11,NULL,9,9,13,8,8,10,9,9,10,9,9,4,9,9,6,8,8,9,7,7,6,8,8,9,10,10,7,9,9,7,10,10,7,9,9,NULL,9,9,9,9,9,NULL,11,11,NULL,11,11,NULL,11,11,NULL
0.18277,NJ,ESSEX,NJ-21,21,SOUTHBOUND,120-07456,2019,01,Tuesday,31,31,31,28,26,20,32,30,28,31,31,26,32,29,18,28,27,17,14,14,12,11,11,4,11,11,6,9,9,9,15,15,9,18,18,20,14,12,11,15,14,8,16,16,13,13,13,13,15,15,13,17,17,12,18,18,13,24,23,15,27,27,25,27,27,26,30,29,26,32,32,30
0.504149,NY,ORANGE,NY-300,300,NORTHBOUND,120+14133,2019,01,Tuesday,27,25,22,37,35,29,34,32,28,28,28,28,23,24,30,31,30,26,28,26,18,23,24,26,28,27,25,31,31,30,26,24,21,28,27,22,29,27,21,30,28,22,33,32,24,28,28,24,27,25,22,27,26,30,26,28,27,31,30,22,33,29,14,35,33,22,32,31,30,37,35,30
0.00763,NY,"NEW YORK","DELANCEY ST",0,WESTBOUND,120P06928,2019,01,Tuesday,11,11,12,8,8,NULL,10,10,NULL,9,8,8,9,9,NULL,8,8,NULL,10,10,NULL,8,8,NULL,7,7,NULL,8,8,4,7,7,4,8,8,6,7,7,4,7,7,6,6,6,9,7,7,6,7,7,NULL,8,8,3,7,7,NULL,7,7,5,8,8,NULL,8,8,NULL,6,6,NULL,11,11,NULL
0.026675,NY,RICHMOND,"PAGE AVE",0,NORTHBOUND,120P18905,2019,01,Tuesday,22,22,NULL,21,21,NULL,22,22,NULL,9,10,12,28,28,NULL,29,29,NULL,28,28,NULL,16,16,NULL,18,19,24,19,19,NULL,23,23,NULL,18,18,12,18,18,21,20,20,NULL,21,21,12,16,16,NULL,17,17,29,21,21,26,19,19,NULL,22,22,NULL,24,24,NULL,25,25,NULL,24,24,NULL,36,36,NULL
0.123094,NY,BRONX,"E 135TH ST",87,WESTBOUND,120+15462,2019,01,Tuesday,25,25,NULL,27,27,NULL,25,24,24,28,27,25,24,23,18,21,21,NULL,17,17,NULL,18,18,NULL,16,16,6,15,15,15,18,18,20,19,19,35,17,17,22,18,18,5,16,16,NULL,15,15,NULL,16,16,NULL,15,15,7,16,16,NULL,20,20,NULL,22,22,NULL,21,21,NULL,23,23,NULL,26,26,NULL
1.386565,NY,ORANGE,NY-300,300,NORTHBOUND,120+14132,2019,01,Tuesday,35,34,30,36,35,29,27,26,30,32,31,31,22,23,28,27,27,28,28,28,24,33,31,24,32,31,21,27,27,23,28,27,26,28,28,25,24,24,23,26,25,18,26,26,20,24,24,25,21,20,17,25,24,25,26,24,20,24,24,25,31,31,29,33,33,25,31,33,34,36,35,22
0.229982,NY,BRONX,"E 135TH ST",87,WESTBOUND,120+15463,2019,01,Tuesday,18,18,NULL,16,16,NULL,21,21,NULL,18,21,22,16,16,17,16,16,NULL,13,13,NULL,11,11,NULL,11,11,20,12,12,14,15,15,29,15,14,11,15,15,NULL,12,12,NULL,14,14,NULL,11,11,NULL,11,11,NULL,12,12,NULL,12,12,NULL,14,14,NULL,16,16,NULL,18,18,NULL,16,16,NULL,17,17,NULL
0.690225,NJ,ESSEX,"PASSAIC AVE",613,SOUTHBOUND,120-20419,2019,01,Tuesday,28,29,35,32,32,NULL,28,28,NULL,26,28,39,27,25,15,24,24,NULL,31,31,29,25,25,27,22,23,30,25,26,29,30,30,26,28,27,22,27,27,28,27,27,23,29,28,21,28,28,36,29,29,29,26,26,NULL,30,30,22,32,32,28,32,32,25,30,30,28,36,35,37,35,34,34
0.172685,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18116,2019,01,Tuesday,NULL,NULL,NULL,16,16,NULL,NULL,NULL,NULL,12,12,NULL,NULL,NULL,NULL,13,13,NULL,26,26,NULL,13,13,NULL,15,16,21,17,17,NULL,15,15,NULL,18,18,NULL,18,18,NULL,14,13,6,14,14,NULL,20,20,NULL,16,16,NULL,19,19,16,17,17,NULL,19,19,NULL,20,20,NULL,16,16,NULL,17,17,NULL,25,25,NULL
0.134968,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18115,2019,01,Tuesday,18,18,NULL,16,12,7,NULL,NULL,NULL,19,18,16,6,6,NULL,10,9,7,24,23,21,14,19,53,15,15,21,17,17,22,13,13,20,15,15,NULL,13,13,9,13,13,NULL,13,13,NULL,12,12,15,13,13,NULL,16,16,NULL,14,13,6,18,18,14,17,17,NULL,16,16,32,18,18,NULL,16,16,NULL
0.819303,NY,KINGS,"CONEY ISLAND AVE",0,SOUTHBOUND,120-18117,2019,01,Tuesday,21,21,NULL,18,18,NULL,11,11,NULL,14,14,NULL,23,23,NULL,9,9,NULL,15,15,NULL,15,15,NULL,13,13,12,14,14,NULL,17,17,7,15,15,NULL,15,15,NULL,16,16,NULL,14,14,NULL,13,13,NULL,12,12,NULL,12,12,NULL,13,13,NULL,15,15,NULL,15,15,NULL,14,14,NULL,21,21,NULL,15,15,NULL
1.831665,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07466,2019,01,Tuesday,46,46,48,49,49,NULL,48,47,32,49,49,44,48,48,42,47,47,41,45,45,42,40,39,33,41,41,43,39,39,42,38,38,40,37,37,38,36,36,40,38,37,34,38,38,33,43,43,40,41,41,32,42,42,42,43,43,42,37,37,38,44,44,39,45,45,42,46,44,41,48,47,35
0.080617,NJ,MORRIS,NJ-23,23,SOUTHBOUND,120-07465,2019,01,Tuesday,43,43,NULL,41,40,38,41,41,36,50,44,31,50,50,44,49,48,35,39,39,40,36,35,26,36,36,30,35,35,28,34,34,32,36,36,31,35,35,31,35,35,32,36,36,34,37,37,35,37,37,34,40,40,37,44,43,32,43,43,41,42,42,NULL,45,44,27,47,45,34,51,51,NULL
0.299594,NY,ROCKLAND,"OLD NY-17",17,SOUTHBOUND,120-06132,2019,01,Tuesday,46,46,NULL,27,27,NULL,NULL,26,26,NULL,NULL,NULL,NULL,NULL,NULL,38,38,NULL,31,31,NULL,34,34,NULL,32,32,NULL,26,24,22,42,42,NULL,42,42,NULL,43,38,5,35,35,NULL,42,42,NULL,38,38,NULL,37,37,NULL,40,40,NULL,36,33,17,45,45,NULL,38,38,NULL,37,41,45,NULL,NULL,NULL,NULL,NULL,NULL
